region_def,ssp,approach,n,budget_share
witch17,SSP1,percapita,brazil,0.024646183263184827
witch17,SSP1,percapita,canada,0.006214165439857344
witch17,SSP1,percapita,china,0.14173488678480217
witch17,SSP1,percapita,europe,0.07287302081304792
witch17,SSP1,percapita,india,0.1789022260825766
witch17,SSP1,percapita,indonesia,0.031038185849019406
witch17,SSP1,percapita,jpnkor,0.01903412238665978
witch17,SSP1,percapita,laca,0.038315341337837795
witch17,SSP1,percapita,mena,0.06521621149283287
witch17,SSP1,percapita,mexico,0.015575794470757257
witch17,SSP1,percapita,oceania,0.007119503518189094
witch17,SSP1,percapita,sasia,0.0652906329298089
witch17,SSP1,percapita,seasia,0.04819049301245759
witch17,SSP1,percapita,southafrica,0.007297382745838358
witch17,SSP1,percapita,ssa,0.18448202434388256
witch17,SSP1,percapita,te,0.041487163203370786
witch17,SSP1,percapita,usa,0.05258266232587673
witch17,SSP2,percapita,brazil,0.024393819300100338
witch17,SSP2,percapita,canada,0.0054239596049059915
witch17,SSP2,percapita,china,0.13239947611615888
witch17,SSP2,percapita,europe,0.06390062319858923
witch17,SSP2,percapita,india,0.18540232341678783
witch17,SSP2,percapita,indonesia,0.030040309823865845
witch17,SSP2,percapita,jpnkor,0.016334032276082225
witch17,SSP2,percapita,laca,0.039202025401829294
witch17,SSP2,percapita,mena,0.0671899130364063
witch17,SSP2,percapita,mexico,0.01610510578357045
witch17,SSP2,percapita,oceania,0.006623880612687696
witch17,SSP2,percapita,sasia,0.07013651402023952
witch17,SSP2,percapita,seasia,0.048334078534477964
witch17,SSP2,percapita,southafrica,0.006839771899800586
witch17,SSP2,percapita,ssa,0.20069653679498994
witch17,SSP2,percapita,te,0.041048925644065724
witch17,SSP2,percapita,usa,0.04592870453544234
witch17,SSP3,percapita,brazil,0.02448122090418654
witch17,SSP3,percapita,canada,0.0034085294847782297
witch17,SSP3,percapita,china,0.12302851317239993
witch17,SSP3,percapita,europe,0.045659930318800196
witch17,SSP3,percapita,india,0.19875423436599005
witch17,SSP3,percapita,indonesia,0.02869775556045798
witch17,SSP3,percapita,jpnkor,0.012012585599749773
witch17,SSP3,percapita,laca,0.0432680930324707
witch17,SSP3,percapita,mena,0.07168418342543796
witch17,SSP3,percapita,mexico,0.01780932161759704
witch17,SSP3,percapita,oceania,0.005091269821271023
witch17,SSP3,percapita,sasia,0.07798878595793714
witch17,SSP3,percapita,seasia,0.049701571048611955
witch17,SSP3,percapita,southafrica,0.0061121455145213615
witch17,SSP3,percapita,ssa,0.22113897163303317
witch17,SSP3,percapita,te,0.04038123776280355
witch17,SSP3,percapita,usa,0.030781650779953547
witch17,SSP4,percapita,brazil,0.021569186458303365
witch17,SSP4,percapita,canada,0.004835099631930815
witch17,SSP4,percapita,china,0.11982078392880077
witch17,SSP4,percapita,europe,0.05781825150885516
witch17,SSP4,percapita,india,0.16274174432473015
witch17,SSP4,percapita,indonesia,0.02590341025761321
witch17,SSP4,percapita,jpnkor,0.015058709190432428
witch17,SSP4,percapita,laca,0.03818024481818505
witch17,SSP4,percapita,mena,0.07064170708450494
witch17,SSP4,percapita,mexico,0.013993949774901157
witch17,SSP4,percapita,oceania,0.006508174762428267
witch17,SSP4,percapita,sasia,0.07982543050924383
witch17,SSP4,percapita,seasia,0.048930101330090806
witch17,SSP4,percapita,southafrica,0.005765019350349085
witch17,SSP4,percapita,ssa,0.25013572180561705
witch17,SSP4,percapita,te,0.03682169815414424
witch17,SSP4,percapita,usa,0.04145076710986972
witch17,SSP5,percapita,brazil,0.023881653836529605
witch17,SSP5,percapita,canada,0.007886408192506788
witch17,SSP5,percapita,china,0.1390549138168742
witch17,SSP5,percapita,europe,0.08421822541116204
witch17,SSP5,percapita,india,0.1745227421419192
witch17,SSP5,percapita,indonesia,0.03004512162848145
witch17,SSP5,percapita,jpnkor,0.020710739077326127
witch17,SSP5,percapita,laca,0.0357241277277338
witch17,SSP5,percapita,mena,0.06416822501444452
witch17,SSP5,percapita,mexico,0.014244277853871114
witch17,SSP5,percapita,oceania,0.008420718452609947
witch17,SSP5,percapita,sasia,0.06146148689327276
witch17,SSP5,percapita,seasia,0.046583558244505587
witch17,SSP5,percapita,southafrica,0.007472189844960121
witch17,SSP5,percapita,ssa,0.1767010881916891
witch17,SSP5,percapita,te,0.0409491202893661
witch17,SSP5,percapita,usa,0.06395540338274752
witch17,SSP1,gdp_percapita,brazil,0.05345964816870235
witch17,SSP1,gdp_percapita,canada,0.07879262860372306
witch17,SSP1,gdp_percapita,china,0.07014046758303334
witch17,SSP1,gdp_percapita,europe,0.07393850860667048
witch17,SSP1,gdp_percapita,india,0.042967871601451525
witch17,SSP1,gdp_percapita,indonesia,0.05862852916450996
witch17,SSP1,gdp_percapita,jpnkor,0.08568093817023235
witch17,SSP1,gdp_percapita,laca,0.04987580515640383
witch17,SSP1,gdp_percapita,mena,0.04529042751027507
witch17,SSP1,gdp_percapita,mexico,0.06126222149337258
witch17,SSP1,gdp_percapita,oceania,0.0753190978128774
witch17,SSP1,gdp_percapita,sasia,0.028602385987963417
witch17,SSP1,gdp_percapita,seasia,0.040143701949810706
witch17,SSP1,gdp_percapita,southafrica,0.049264078236955326
witch17,SSP1,gdp_percapita,ssa,0.029961335526060548
witch17,SSP1,gdp_percapita,te,0.05698066077724744
witch17,SSP1,gdp_percapita,usa,0.0996916936507106
witch17,SSP2,gdp_percapita,brazil,0.045529073247297165
witch17,SSP2,gdp_percapita,canada,0.09569646573911024
witch17,SSP2,gdp_percapita,china,0.06755605286120786
witch17,SSP2,gdp_percapita,europe,0.08552644097046214
witch17,SSP2,gdp_percapita,india,0.03474238477913814
witch17,SSP2,gdp_percapita,indonesia,0.04626688451006009
witch17,SSP2,gdp_percapita,jpnkor,0.09329860600475302
witch17,SSP2,gdp_percapita,laca,0.0482207279431241
witch17,SSP2,gdp_percapita,mena,0.04595178799073875
witch17,SSP2,gdp_percapita,mexico,0.060051365132290487
witch17,SSP2,gdp_percapita,oceania,0.07649886103824903
witch17,SSP2,gdp_percapita,sasia,0.022455564035446202
witch17,SSP2,gdp_percapita,seasia,0.037703865259805715
witch17,SSP2,gdp_percapita,southafrica,0.05198548501173302
